instrument	category	source_table	collection
LD - Bassraiders _V3_ WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V3_.vital	other
LEAD - Clean Guitar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/LEAD - Clean Guitar.vital	other
Lost at Sea WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lost at Sea.vital	other
Love Honk WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Love Honk.vital	other
M1 Clav WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Clav.vitaltable	Kimura Taro (CC0)
M1 Guitar1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Guitar1.vitaltable	Kimura Taro (CC0)
M1 MuteTB WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 MuteTB.vitaltable	Kimura Taro (CC0)
M1 PianoI WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Piano/M1 PianoI.vitaltable	Kimura Taro (CC0)
M1-SCWs WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1-SCWs.vitaltable	Kimura Taro (CC0)
M1PianoFFT1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Piano/M1PianoFFT1.vitaltable	Kimura Taro (CC0)
MIXED_AS WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MIXED_AS.vitaltable	WaveEdit Online (CC0)
MP P10-PS2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP P10-PS2.vitaltable	Kimura Taro (CC0)
MS 20 Saw MPS WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MS 20 Saw MPS.vitaltable	Kimura Taro (CC0)
Melda CustumWave3 IcarusBell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Melda Oscillator/Melda CustumWave3 IcarusBell.vitaltable	Kimura Taro (CC0)
Melda CustumWave3 IcarusDenoise WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Melda Oscillator/Melda CustumWave3 IcarusDenoise.vitaltable	Kimura Taro (CC0)
Melody 20 WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Melody 20.vital	user/Discord presets (third-party)
Melody echo WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Melody echo.vital	user/Discord presets (third-party)
Modulo10 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Modulo/Modulo10.vitaltable	Kimura Taro (CC0)
MonoPoly P10 PS1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly P10 PS1.vitaltable	Kimura Taro (CC0)
No Contest WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/No Contest.vital	other
OP1 Digital02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital02.vitaltable	Kimura Taro (CC0)
OP1 Digital03I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital03I.vitaltable	Kimura Taro (CC0)
OP1 Digital05 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital05.vitaltable	Kimura Taro (CC0)
OP1 DrWave01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave01.vitaltable	Kimura Taro (CC0)
OP1 DrWave02I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave02I.vitaltable	Kimura Taro (CC0)
OP1 DrWave03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave03.vitaltable	Kimura Taro (CC0)
OP1 DrWave04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave04.vitaltable	Kimura Taro (CC0)
OP1 DrWave05I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave05I.vitaltable	Kimura Taro (CC0)
OP1 DrWave09 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave09.vitaltable	Kimura Taro (CC0)
OP1 Phase01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Phase01.vitaltable	Kimura Taro (CC0)
OP1 Phase02I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Phase02I.vitaltable	Kimura Taro (CC0)
OP1 String03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String03.vitaltable	Kimura Taro (CC0)
OP1 String05I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String05I.vitaltable	Kimura Taro (CC0)
OP1 String06 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String06.vitaltable	Kimura Taro (CC0)
OP1 String07I WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 String07I.vitaltable	Kimura Taro (CC0)
Orchestra Horns WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Orchestra Horns.vital	other
Over Clouds WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Over Clouds.vital	other
PD PWM1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD PWM/PD PWM1.vitaltable	Kimura Taro (CC0)
