instrument	category	source_table	collection
FEEDBACK WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FEEDBACK.vitaltable	WaveEdit Online (CC0)
FX - Riser Up WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Riser Up.vital	other
Formant1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Formant/Formant1.vitaltable	Kimura Taro (CC0)
GRAV-B6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B6.vitaltable	WaveEdit Online (CC0)
GRAV-C2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C2.vitaltable	WaveEdit Online (CC0)
GRAV-C9 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C9.vitaltable	WaveEdit Online (CC0)
Go Arp Yourself WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Go Arp Yourself.vital	other
Good Job WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Good Job.vital	other
Gorgeous Choir Pad WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gorgeous Choir Pad.vital	other
Grand Piano WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Grand Piano.vital	other
HVOICEA WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HVOICEA.vitaltable	WaveEdit Online (CC0)
Hardcore FM8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM8.vitaltable	Kimura Taro (CC0)
Horny WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalPresets/Presets/Horny.vital	user/Discord presets (third-party)
Intimate Piano WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Intimate Piano.vital	other
JUNOX_HO WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/JUNOX_HO.vitaltable	WaveEdit Online (CC0)
Keys - Haunted WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Haunted.vital	other
Keys - Run Away WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Run Away.vital	other
Keys - Square Keys Analog WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Square Keys Analog.vital	other
Keys - Synthesized Dreams WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Synthesized Dreams.vital	other
LIGHT_00 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LIGHT_00.vitaltable	WaveEdit Online (CC0)
LIGHT_YE WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LIGHT_YE.vitaltable	WaveEdit Online (CC0)
Lead - Lo-Fi_s Drunk WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lead - Lo-Fi_s Drunk.vital	other
Liquid Metal WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalBank/Presets/Liquid Metal.vital	other
Little Driven Bass WT.xrni	octave and folded	/home/meneses/.local/share/vital/Growl 6 - Heavy Basses/Presets/Little Driven Bass.vital	user/Discord presets (third-party)
Lo-fi French Horns WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lo-fi French Horns.vital	other
M1 SlapBass Complex1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 SlapBass Complex1.vitaltable	Kimura Taro (CC0)
M1 Strings1 SP1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Strings1 SP1.vitaltable	Kimura Taro (CC0)
MUTATION WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MUTATION.vitaltable	WaveEdit Online (CC0)
Make Us Cry Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Make Us Cry Bells.vital	other
Mark Tree WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Mark Tree.vital	other
Meditation Zone WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Meditation Zone.vital	other
Mellochoir WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Mellochoir.vital	other
Melody 45 WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/Melody 45.vital	user/Discord presets (third-party)
MinipopsQuijada WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/MinipopsQuijada.vital	other
MultiPhase SQ IcarusStack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhase SQ IcarusStack.vitaltable	Kimura Taro (CC0)
MultiPhaseSaw IcarusStack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhaseSaw IcarusStack.vitaltable	Kimura Taro (CC0)
NightBirds WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalBank/Presets/NightBirds.vital	other
OP1 Digital04I WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital04I.vitaltable	Kimura Taro (CC0)
OP1 Digital09 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital09.vitaltable	Kimura Taro (CC0)
ORGANS01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ORGANS01.vitaltable	WaveEdit Online (CC0)
Organ Player WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Organ Player.vital	other
PD103 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PD103.vitaltable	WaveEdit Online (CC0)
PD104 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PD104.vitaltable	WaveEdit Online (CC0)
PPG04 4bit WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG04 4bit.vitaltable	Kimura Taro (CC0)
PPG04 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG04.vitaltable	Kimura Taro (CC0)
PPG08 4bit WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG08 4bit.vitaltable	Kimura Taro (CC0)
PPG08 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG08.vitaltable	Kimura Taro (CC0)
PPG_WA08 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA08.vitaltable	WaveEdit Online (CC0)
PWM1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/PWM1.vitaltable	Kimura Taro (CC0)
Pad Harmo WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalPresets/Presets/Pad Harmo.vital	user/Discord presets (third-party)
Phase8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase8.vitaltable	Kimura Taro (CC0)
Pink Noise Pad WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Pink Noise Pad.vital	other
Plaits01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Mutable Instruments Plaits/Plaits01.vitaltable	Kimura Taro (CC0)
Power Pop Snare _Gated Reverb_ WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Power Pop Snare _Gated Reverb_.vital	other
RETRO_SP WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RETRO_SP.vitaltable	WaveEdit Online (CC0)
RRLYRQ5 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ5.vitaltable	WaveEdit Online (CC0)
RRLYRQ6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ6.vitaltable	WaveEdit Online (CC0)
RRLYRQ7 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ7.vitaltable	WaveEdit Online (CC0)
RandomFFT1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/RandomFFT/RandomFFT1.vitaltable	Kimura Taro (CC0)
RandomFFT3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/RandomFFT/RandomFFT3.vitaltable	Kimura Taro (CC0)
SOHLER20 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER20.vitaltable	WaveEdit Online (CC0)
SOHLER29 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER29.vitaltable	WaveEdit Online (CC0)
SOHLER44 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER44.vitaltable	WaveEdit Online (CC0)
SOHLER60 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER60.vitaltable	WaveEdit Online (CC0)
SOHLER81 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER81.vitaltable	WaveEdit Online (CC0)
SPECTR01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR01.vitaltable	WaveEdit Online (CC0)
SUPERSAW WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SUPERSAW.vitaltable	WaveEdit Online (CC0)
SYNLP111 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP111.vitaltable	WaveEdit Online (CC0)
SYNLP116 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP116.vitaltable	WaveEdit Online (CC0)
SYNLP12 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP12.vitaltable	WaveEdit Online (CC0)
SYNLP130 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP130.vitaltable	WaveEdit Online (CC0)
SYNLP132 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP132.vitaltable	WaveEdit Online (CC0)
SYNLP148 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP148.vitaltable	WaveEdit Online (CC0)
SYNLP159 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP159.vitaltable	WaveEdit Online (CC0)
SYNLP160 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP160.vitaltable	WaveEdit Online (CC0)
SYNLP164 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP164.vitaltable	WaveEdit Online (CC0)
SYNLP165 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP165.vitaltable	WaveEdit Online (CC0)
SYNLP182 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP182.vitaltable	WaveEdit Online (CC0)
SYNLP184 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP184.vitaltable	WaveEdit Online (CC0)
SYNLP185 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP185.vitaltable	WaveEdit Online (CC0)
SYNLP198 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP198.vitaltable	WaveEdit Online (CC0)
SYNLP27 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP27.vitaltable	WaveEdit Online (CC0)
SYNLP31 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP31.vitaltable	WaveEdit Online (CC0)
SYNLP38 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP38.vitaltable	WaveEdit Online (CC0)
SYNLP43 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP43.vitaltable	WaveEdit Online (CC0)
SYNLP44 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP44.vitaltable	WaveEdit Online (CC0)
SYNLP47 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP47.vitaltable	WaveEdit Online (CC0)
SYNLP63 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP63.vitaltable	WaveEdit Online (CC0)
SYNLP66 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP66.vitaltable	WaveEdit Online (CC0)
SYNLP74 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP74.vitaltable	WaveEdit Online (CC0)
SYNLP80 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP80.vitaltable	WaveEdit Online (CC0)
SYNLP82 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP82.vitaltable	WaveEdit Online (CC0)
SYNLP83 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP83.vitaltable	WaveEdit Online (CC0)
SYNLP85 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP85.vitaltable	WaveEdit Online (CC0)
SYNLP86 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP86.vitaltable	WaveEdit Online (CC0)
SYNLP98 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP98.vitaltable	WaveEdit Online (CC0)
SYNLP99 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP99.vitaltable	WaveEdit Online (CC0)
SYNLPG09 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG09.vitaltable	WaveEdit Online (CC0)
SYNTH_VO WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNTH_VO.vitaltable	WaveEdit Online (CC0)
Savage Bass WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Savage Bass.vital	other
SawFMRingSP WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/SawFMRingSP.vitaltable	Kimura Taro (CC0)
SawSync1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawSync1.vitaltable	Kimura Taro (CC0)
Shine Box WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Shine Box.vital	other
Spacey WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Spacey.vital	other
Stairway Soloist WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Stairway Soloist.vital	other
String Machinest WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/String Machinest.vital	other
StringCp1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/StringCp1.vitaltable	Kimura Taro (CC0)
Synth 8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/Synth 8.vital	user/Discord presets (third-party)
System Failure Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/System Failure Bells.vital	other
THREE SOURCES WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Wavetables/THREE SOURCES.vitaltable	user/Discord presets (third-party)
TWIST1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TWIST1.vitaltable	WaveEdit Online (CC0)
TWIST6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TWIST6.vitaltable	WaveEdit Online (CC0)
Temple Bell WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Temple Bell.vital	other
Term4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term4.vitaltable	Kimura Taro (CC0)
Terra Bend_PD Stack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra Bend+PD Stack.vitaltable	Kimura Taro (CC0)
This is the Return WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/This is the Return.vital	other
Unison Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Unison Bells.vital	other
VIRUS_SA WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VIRUS_SA.vitaltable	WaveEdit Online (CC0)
VOCAL_00 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VOCAL_00.vitaltable	WaveEdit Online (CC0)
VS VMorph1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph1.vitaltable	Kimura Taro (CC0)
VS VMorph4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph4.vitaltable	Kimura Taro (CC0)
VS VMorph5 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph5.vitaltable	Kimura Taro (CC0)
Vocal - Roles Reversed WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vocal - Roles Reversed.vital	other
Vocal Feels WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vocal Feels.vital	other
abs2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs2.vitaltable	Kimura Taro (CC0)
abs3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs3.vitaltable	Kimura Taro (CC0)
abs4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs4.vitaltable	Kimura Taro (CC0)
ba.022 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/ba.022.vital	user/Discord presets (third-party)
base check WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/base check.vital	user/Discord presets (third-party)
minimal house stab 14 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/minimal house stab 14.vital	user/Discord presets (third-party)
pad 005 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/pad 005.vital	user/Discord presets (third-party)
rs.006 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/rs.006.vital	user/Discord presets (third-party)
111___00 WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/111___00.vitaltable	WaveEdit Online (CC0)
808 Quickdrop Lil Saw WT.xrni	pulse and round	/home/meneses/.local/share/vital/VitalPresets/Presets/808 Quickdrop Lil Saw.vital	user/Discord presets (third-party)
AAA Glass Requiem WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/AAA Glass Requiem.vital	other
ACCESS_V WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ACCESS_V.vitaltable	WaveEdit Online (CC0)
AJ-PWM Saw1 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Alpha Juno SawPWM/AJ-PWM Saw1.vitaltable	Kimura Taro (CC0)
AMPWM1 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AMPWM/AMPWM1.vitaltable	Kimura Taro (CC0)
AMPWM3 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AMPWM/AMPWM3.vitaltable	Kimura Taro (CC0)
AMPWM4 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AMPWM/AMPWM4.vitaltable	Kimura Taro (CC0)
Abusive WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Abusive.vital	other
Ambient Duduk WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Ambient Duduk.vital	other
Ambient Soundscape 1 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Ambient Soundscape 1.vital	other
Arp 3 WT.xrni	pulse and round	/home/meneses/.local/share/vital/nahush2321/Presets/Arp 3.vital	user/Discord presets (third-party)
Atmosphere 29 WT.xrni	pulse and round	/home/meneses/.local/share/vital/nahush2321/Presets/Atmosphere 29.vital	user/Discord presets (third-party)
BA Hands Up Pitch Bass 03 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/BA Hands Up Pitch Bass 03.vital	other
BASE 445 WT.xrni	pulse and round	/home/meneses/.local/share/vital/nahush2321/Presets/BASE 445.vital	user/Discord presets (third-party)
BLA - Masterclass Kick2 WT.xrni	pulse and round	/home/meneses/.local/share/vital/VitalPresets/Presets/BLA - Masterclass Kick2.vital	user/Discord presets (third-party)
Basic Bass WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Basic Bass.vital	other
Basic Organ WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Basic Organ.vital	other
Bass  gride WT.xrni	pulse and round	/home/meneses/.local/share/vital/nahush2321/Wavetables/Bass  gride.vitaltable	user/Discord presets (third-party)
Bass - All Out WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bass - All Out.vital	other
Bass - Four 15_s WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bass - Four 15_s.vital	other
Bass Aight WT.xrni	pulse and round	/home/meneses/.local/share/vital/VitalPresets/Presets/Bass Aight.vital	user/Discord presets (third-party)
BassTables 01 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 01.wav	BassTables (free use license)
BassTables 10 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 10.wav	BassTables (free use license)
BassTables 12 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 12.wav	BassTables (free use license)
BassTables 17 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 17.wav	BassTables (free use license)
BassTables 20 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 20.wav	BassTables (free use license)
BassTables 26 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 26.wav	BassTables (free use license)
BassTables 27 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 27.wav	BassTables (free use license)
BassTables 30 WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 30.wav	BassTables (free use license)
Bitty Triangle WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bitty Triangle.vital	other
Breakout WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Breakout.vital	other
Broken Elevator WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Broken Elevator.vital	other
Broken Vocal WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Broken Vocal.vital	other
Buildup plucks WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Buildup plucks.vital	other
CRUSH_AD WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/CRUSH_AD.vitaltable	WaveEdit Online (CC0)
Celestial Stairway Poly WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Celestial Stairway Poly.vital	other
Chebyshev poly2 WT.xrni	pulse and round	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Chebyshev polynomials/Chebyshev poly2.vitaltable	Kimura Taro (CC0)
Classic FM Bass WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Classic FM Bass.vital	other
Curious Bass WT.xrni	pulse and round	/home/meneses/.local/share/vital/misc/Presets/Curious Bass.vital	other
Cut Sine WT.xrni	pulse and round	/home/meneses/.local/share/vital/nahush2321/Wavetables/Cut Sine.vitaltable	user/Discord presets (third-party)
DIRTY_01 WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/DIRTY_01.vitaltable	WaveEdit Online (CC0)
DIRTY_02 WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/DIRTY_02.vitaltable	WaveEdit Online (CC0)
Did You Kill My Brother WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Did You Kill My Brother.vital	other
Dnb Modern Dull 3 WT.xrni	pulse and round	/home/meneses/.local/share/vital/VitalPresets/Presets/Dnb Modern Dull 3.vital	user/Discord presets (third-party)
Dub Noise WT.xrni	pulse and round	/home/meneses/.local/share/vital/Vital Harvest/Presets/Dub Noise.vital	other
E.GUITAR WT.xrni	pulse and round	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/E.GUITAR.vitaltable	WaveEdit Online (CC0)
ESW Analog - 303 Saw WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - 303 Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - ARP Saw WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - ARP Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - Brute Saw WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Brute Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - JP800 Saw WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - JP800 Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - JP800 Square WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - JP800 Square.wav	Echo Sound Works Core (free pack)
ESW Analog - Jupiter 8 Saw WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Jupiter 8 Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - Jupiter 8 Square WT.xrni	pulse and round	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Jupiter 8 Square.wav	Echo Sound Works Core (free pack)
